PID,KICKER,KGRO,KNET,KTB,KR,KRY
363298,CB-0700,63,35,N,CS-2600,28
363309,CB-0700,68,45,N,CS-2600,23
363323,MB-4600,63,42,N,DS-0700,21
363330,CB-0700,66,30,N,CS-2600,36
363353,CB-0700,67,-30,N,CS-2600,97
363355,MB-4600,50,34,N,DS-0700,16
363369,CB-0700,57,35,N,BC-1400,22
363408,MB-4600,70,50,Y,XX-0000,0
363421,CB-0700,63,37,N,CS-2600,26
363444,MB-4600,52,38,N,DS-0700,14
363447,CB-0700,66,44,N,CS-2600,22
363459,MS-5200,66,39,N,JC-5600,27
363475,MS-5200,63,43,N,JC-5600,20
363487,MS-5200,62,-30,N,JC-5600,92
363489,PD-0200,72,52,Y,XX-0000,0
363524,PD-0200,70,50,Y,XX-0000,0
363537,MS-5200,52,37,N,JC-5600,15
363543,PD-0200,49,49,N,YF-0100,0
363544,PD-0200,61,55,N,RR-0400,6
363551,PD-0200,72,44,N,YF-0100,28
363567,PD-0200,49,49,N,XX-0000,0
363582,MS-5200,70,50,Y,XX-0000,0
363591,MS-5200,68,45,N,JC-5600,23
363611,MS-5200,68,30,N,JC-5600,38
363625,MS-5200,52,30,N,JC-5600,22
363637,RL-0900,71,31,N,LW-0500,40
363644,JF-0900,71,27,N,LM-1100,44
363650,RL-0900,60,39,N,LW-0500,21
363661,JF-0900,60,40,N,LM-1100,20
363680,JF-0900,62,36,N,LM-1100,26
363711,JF-0900,64,52,N,LM-1100,12
363726,JF-0900,68,41,N,LM-1100,27
363737,RL-0900,62,62,N,XX-0000,0
363743,JF-0900,66,40,N,LM-1100,26
363757,RL-0900,57,48,N,LW-0500,9
363774,JF-0900,62,33,N,LM-1100,29
363781,JB-7100,69,52,N,SB-1400,17
363811,JB-7100,70,53,N,SB-1400,17
363832,NR-0100,69,48,N,DH-0600,21
363842,NR-0100,72,46,N,DH-0600,26
363857,NR-0100,70,55,N,DH-0600,15
363865,NR-0100,71,49,N,DH-0600,22
363872,NR-0100,73,52,N,DH-0600,21
363901,NR-0100,67,47,N,DS-3700,20
363920,JB-7100,72,52,N,JA-2400,20
363935,NR-0100,70,49,N,DS-3700,21
363945,RG-1500,68,37,N,BM-2100,31
363956,RG-1500,72,56,N,BM-2100,16
363972,RG-1500,70,40,N,BM-2100,30
363986,JH-0900,67,52,N,DH-2700,15
