PID,PUNTER,PGRO,PNET,PTB,PR,PRY,PFC
3864,DB-1500,49,-2,N,CM-3100,51,N
3885,TG-1500,37,20,N,NJ-0200,17,N
3929,CS-3700,50,30,Y,XX-0000,0,N
3963,CS-3700,29,29,N,ED-0100,0,Y
3983,CS-3700,43,23,N,ED-0100,20,N
4020,CS-3700,55,35,Y,XX-0000,0,N
4027,KW-0200,34,18,N,KW-1500,16,N
4044,KW-0200,36,36,N,XX-0000,0,N
4063,KW-0200,24,24,N,XX-0000,0,N
4085,JB-0600,37,24,N,CR-1500,13,N
4116,JF-0800,38,38,N,AH-0200,0,Y
4141,JF-0800,37,37,N,AH-0200,0,Y
4215,JB-0600,33,33,N,CR-1500,0,Y
4244,MR-2100,47,43,N,GM-1100,4,N
4252,BB-1100,38,38,N,XX-0000,0,N
4256,MR-2100,41,41,N,GM-1100,0,N
4271,BB-1100,38,37,N,KW-1100,1,N
4276,MR-2100,51,32,N,GM-1100,19,N
4292,BB-1100,40,42,N,KW-1100,-2,N
4326,BB-1100,42,42,N,KW-1100,0,Y
4342,BB-1100,33,33,N,KW-1100,0,Y
4350,BB-1100,41,25,N,KW-1100,16,N
4354,MR-2100,47,27,Y,XX-0000,0,N
4361,BB-1100,37,35,N,KW-1100,2,N
4391,MR-2100,35,15,Y,XX-0000,0,N
4403,TS-0500,37,37,N,XX-0000,0,N
4412,CH-2900,36,36,N,XX-0000,0,N
4421,TS-0500,44,28,N,DM-0500,16,N
4441,CH-2900,46,46,N,XX-0000,0,N
4447,TS-0500,23,23,N,DM-0500,0,Y
4467,TS-0500,41,41,N,XX-0000,0,N
4479,CH-2900,40,40,N,LP-0100,0,Y
4515,CH-2900,37,17,Y,XX-0000,0,N
4522,TS-0500,51,43,N,DM-0500,8,N
4537,TS-0500,42,29,N,DM-0500,13,N
4555,TS-0500,36,36,N,XX-0000,0,N
4580,MK-1100,58,58,N,XX-0000,0,N
4585,SP-1400,55,-9,N,WM-0400,64,N
4616,SP-1400,38,37,N,WM-0400,1,N
4697,MK-1100,56,49,N,MC-1700,7,N
4719,TT-1700,51,20,N,TB-3300,31,N
4765,TT-1700,51,30,N,TB-3300,21,N
4774,LJ-1000,43,23,Y,XX-0000,0,N
4779,TT-1700,62,24,N,TB-3300,38,N
4792,TT-1700,51,31,Y,XX-0000,0,N
4796,LJ-1000,51,49,N,DD-2800,2,N
4825,TT-1700,46,46,N,TB-3300,0,Y
4833,LJ-1000,37,37,N,XX-0000,0,N
4837,TT-1700,41,38,N,TB-3300,3,N
