PID,FGXP,FKICKER,DIST,GOOD
9865,FG,MS-5200,30,Y
9872,FG,MS-5200,44,Y
9889,FG,MS-5200,51,N
9922,FG,MS-5200,22,Y
9979,XP,AV-0400,20,Y
9990,XP,AV-0400,20,Y
10018,FG,JN-0600,20,Y
10051,XP,AV-0400,20,Y
10092,XP,AV-0400,20,Y
10118,FG,JN-0600,43,N
10152,XP,JH-0900,20,Y
10158,XP,GA-0300,20,Y
10205,FG,JH-0900,21,Y
10226,FG,GA-0300,20,Y
10240,FG,JH-0900,43,N
10259,XP,GA-0300,20,Y
10269,XP,JH-0900,20,Y
10278,XP,GA-0300,20,Y
10287,XP,GA-0300,20,Y
10314,XP,JH-0900,20,Y
10324,XP,PE-0100,20,Y
10345,FG,PE-0100,19,Y
10373,XP,PE-0100,20,Y
10382,FG,RL-1300,42,Y
10397,FG,PE-0100,42,N
10417,XP,PE-0100,20,Y
10425,XP,RL-1300,20,Y
10449,XP,RL-1300,20,Y
10462,FG,PE-0100,47,Y
10471,XP,RL-1300,20,Y
10503,FG,SL-0600,19,Y
10527,XP,KB-2300,20,Y
10547,FG,KB-2300,19,Y
10557,XP,KB-2300,20,Y
10572,FG,SL-0600,48,Y
10599,XP,KB-2300,20,Y
10650,XP,SL-0600,20,Y
10669,FG,CB-1700,51,N
10681,XP,WR-0500,20,Y
10695,FG,CB-1700,32,Y
10718,FG,WR-0500,33,Y
10724,XP,WR-0500,20,Y
10730,XP,CB-1700,20,Y
10757,XP,WR-0500,20,Y
10780,FG,WR-0500,29,Y
10795,FG,CB-1700,27,Y
10810,XP,CB-1700,20,Y
10826,FG,JW-3300,51,Y
10841,XP,JW-3300,20,Y
10845,XP,JW-3300,20,Y
10856,FG,JC-0900,37,Y
10867,FG,JW-3300,21,Y
10880,XP,JC-0900,20,Y
10890,XP,JW-3300,20,Y
10898,FG,JC-0900,49,N
10905,FG,JW-3300,31,Y
10915,XP,JC-0900,20,Y
10919,XP,JW-3300,20,Y
10929,FG,JW-3300,33,Y
10939,XP,JW-3300,20,Y
10953,FG,JW-3300,20,Y
